Date,Price,Open,High,Low,Vol.,Change %
3/30/2018,113500,109000,115000,106800,625.16K,3.65%
4/2/2018,114600,113000,118000,113000,1.03M,0.97%
4/3/2018,113000,115000,115000,111800,930.34K,-1.40%
4/4/2018,110000,113000,114900,110000,1.27M,-2.65%
4/5/2018,109500,112000,112800,109000,616.48K,-0.45%
4/6/2018,106800,109500,112000,105000,880.10K,-2.47%
4/9/2018,107000,105000,109800,102000,1.64M,0.19%
4/10/2018,105000,109000,109000,104100,813.04K,-1.87%
4/11/2018,98000,105000,106500,98000,1.69M,-6.67%
4/12/2018,102000,98000,102800,97000,755.63K,4.08%
4/13/2018,102500,102000,103300,100000,706.61K,0.49%
4/16/2018,104300,104000,106800,103500,859.88K,1.76%
4/17/2018,104000,106000,106000,103500,657.51K,-0.29%
4/18/2018,100000,104000,105000,99100,1.09M,-3.85%
4/19/2018,93000,100000,100000,93000,2.13M,-7.00%
4/20/2018,96200,90500,96200,86800,2.40M,3.44%
4/23/2018,95000,96200,98000,94000,1.49M,-1.25%
4/24/2018,95800,95000,96000,89000,1.41M,0.84%
4/26/2018,89200,95000,95000,89100,1.45M,-6.89%
4/27/2018,91800,87300,93000,87000,747.00K,2.91%
5/2/2018,93400,92500,93700,91800,896.40K,1.74%
5/3/2018,92000,93400,93500,91500,1.15M,-1.50%
5/4/2018,91500,92000,93900,90600,390.81K,-0.54%
5/7/2018,96500,91500,97000,91000,687.86K,5.46%
5/8/2018,97000,96500,98500,93100,877.86K,0.52%
5/9/2018,95000,97000,98000,94500,931.95K,-2.06%
5/10/2018,94000,95000,96500,92000,623.53K,-1.05%
5/11/2018,93900,94000,94800,92500,318.61K,-0.11%
5/14/2018,98000,94500,98500,93500,722.62K,4.37%
5/15/2018,96200,99000,99400,96000,738.89K,-1.84%
5/16/2018,92900,96200,96200,92600,461.65K,-3.43%
5/17/2018,87000,92700,93900,87000,1.14M,-6.35%
5/18/2018,92500,88000,92500,87500,885.64K,6.32%
5/21/2018,89000,92500,93500,89000,495.85K,-3.78%
5/22/2018,85000,88000,89900,82800,1.13M,-4.49%
5/23/2018,85000,83200,85200,83000,1.42M,0.00%
5/24/2018,84500,85000,85300,83000,1.05M,-0.59%
5/25/2018,83500,84000,84500,82500,776.71K,-1.18%
5/28/2018,80000,81500,82500,77700,1.57M,-4.19%
5/29/2018,80000,78000,82500,75500,1.17M,0.00%
5/30/2018,80000,80000,81500,77200,1.34M,0.00%
5/31/2018,81000,79000,84500,79000,1.46M,1.25%
6/1/2018,83900,82000,83900,81000,1.03M,3.58%
6/4/2018,84200,84900,84900,83600,1.03M,0.36%
6/5/2018,85400,84200,86800,84100,2.04M,1.43%
6/6/2018,85500,85400,85500,84500,1.17M,0.12%
6/7/2018,87300,86400,89400,86000,1.15M,2.11%
6/8/2018,86000,87300,87800,85600,672.84K,-1.49%
6/11/2018,85000,86000,86700,85000,881.24K,-1.16%
6/12/2018,82400,84000,84000,79500,1.39M,-3.06%
6/13/2018,83500,83000,83600,82400,665.42K,1.33%
6/14/2018,84500,84500,85300,83100,754.20K,1.20%
6/15/2018,85000,83900,85000,83100,1.13M,0.59%
6/18/2018,84000,84000,85000,81500,825.84K,-1.18%
6/19/2018,80000,82000,82000,79000,1.50M,-4.76%
6/20/2018,81000,80000,81900,78000,986.43K,1.25%
6/21/2018,81000,81000,81400,79700,609.31K,0.00%
6/22/2018,81000,81000,81000,79100,606.92K,0.00%
6/25/2018,83000,83500,83500,81500,458.16K,2.47%
6/26/2018,82500,82500,82500,80900,258.54K,-0.60%
6/27/2018,81000,82500,83000,80000,418.19K,-1.82%
6/28/2018,79000,80000,80900,77000,810.88K,-2.47%
6/29/2018,79000,77200,79500,77200,683.73K,0.00%
7/2/2018,76000,77400,78900,73500,1.50M,-3.80%
7/3/2018,74000,76000,76500,72100,1.22M,-2.63%
7/4/2018,74100,73000,74600,71000,967.41K,0.14%
7/5/2018,73900,73200,74100,71800,1.27M,-0.27%
7/6/2018,74000,71800,74100,71100,1.49M,0.14%
7/9/2018,74200,74000,76000,73100,414.98K,0.27%
7/10/2018,74200,74000,74900,73900,495.93K,0.00%
7/11/2018,74000,74000,74200,72600,962.21K,-0.27%
7/12/2018,74000,72700,74000,72600,521.53K,0.00%
7/13/2018,74900,74000,75400,73500,453.21K,1.22%
7/16/2018,74200,74500,75200,73900,1.01M,-0.93%
7/17/2018,74500,73300,74500,73300,549.36K,0.40%
7/18/2018,76000,74500,77000,74200,1.23M,2.01%
7/19/2018,79100,77000,80500,76800,761.01K,4.08%
7/20/2018,79100,79600,80000,78100,766.99K,0.00%
7/23/2018,79100,79000,81200,78600,1.16M,0.00%
7/24/2018,80500,79100,81200,78200,1.01M,1.77%
7/25/2018,81000,80500,84000,79900,935.28K,0.62%
7/26/2018,81000,81900,82100,80000,433.81K,0.00%
7/27/2018,81300,80800,81500,79900,525.86K,0.37%
7/30/2018,81400,81800,81800,80000,515.97K,0.12%
7/31/2018,84200,81000,84600,81000,910.85K,3.44%
8/1/2018,84200,84500,84500,82700,299.79K,0.00%
8/2/2018,84200,84200,84800,83400,491.44K,0.00%
8/3/2018,85000,85100,85200,84200,478.55K,0.95%
8/6/2018,87400,85000,88400,84500,636.03K,2.82%
8/7/2018,90000,87400,90600,87000,675.44K,2.97%
8/8/2018,90000,90000,90000,88500,405.53K,0.00%
8/9/2018,89900,90000,90900,88900,333.29K,-0.11%
8/10/2018,89000,88700,89500,87800,886.18K,-1.00%
8/13/2018,90900,88300,91800,87900,744.80K,2.13%
8/14/2018,93500,90900,93500,89900,597.97K,2.86%
8/15/2018,91500,93500,93800,91500,322.23K,-2.14%
8/16/2018,90000,90100,91100,88600,519.73K,-1.64%
8/17/2018,89600,90800,91300,89500,356.51K,-0.44%
8/20/2018,89900,90500,90500,89300,256.13K,0.33%
8/21/2018,90300,90800,91800,90000,292.26K,0.44%
8/22/2018,92000,90800,92300,90500,361.55K,1.88%
8/23/2018,91200,92800,92900,91200,269.12K,-0.87%
8/24/2018,90600,91200,92000,90600,466.91K,-0.66%
8/27/2018,91200,90600,91800,90500,317.35K,0.66%
8/28/2018,91400,92000,92000,91000,315.06K,0.22%
8/29/2018,91000,92000,93200,91000,760.74K,-0.44%
8/30/2018,97000,92000,97000,91500,743.98K,6.59%
8/31/2018,95000,95600,97200,94800,749.68K,-2.06%
9/4/2018,94000,95000,96300,94000,822.14K,-1.05%
9/5/2018,93000,93700,94600,92600,541.78K,-1.06%
9/6/2018,94800,93000,95500,92900,501.25K,1.94%
9/7/2018,95000,94300,95000,93600,218.34K,0.21%
9/10/2018,91500,94100,95000,91500,392.73K,-3.68%
9/11/2018,92500,92000,92600,90000,499.99K,1.09%
9/12/2018,92600,93600,94500,92600,314.16K,0.11%
9/13/2018,92400,91700,94000,91700,241.21K,-0.22%
9/14/2018,91600,92400,92400,91500,422.95K,-0.87%
9/17/2018,91600,91100,91600,88900,490.34K,0.00%
9/18/2018,90100,91500,91500,89100,280.76K,-1.64%
9/19/2018,91200,92000,93000,91000,447.45K,1.22%
9/20/2018,92500,91500,92700,91500,637.98K,1.43%
9/21/2018,91000,92500,94700,91000,3.71M,-1.62%
9/24/2018,94500,93000,95000,92900,558.17K,3.85%
9/25/2018,94400,95500,95900,93900,289.76K,-0.11%
9/26/2018,93500,93500,94200,93300,659.60K,-0.95%
9/27/2018,92500,93500,94000,92000,442.95K,-1.07%
9/28/2018,92800,93400,93400,91500,686.95K,0.32%
10/1/2018,93900,92800,93900,91600,1.29M,1.19%
10/2/2018,94000,93900,94100,90600,2.31M,0.11%
10/3/2018,93200,93500,93700,92500,604.56K,-0.85%
10/4/2018,93900,93300,93900,92800,1.44M,0.75%
10/5/2018,91000,93800,93800,90900,1.59M,-3.09%
10/8/2018,89800,90400,91000,87600,1.96M,-1.32%
10/9/2018,88000,89800,90000,88000,669.99K,-2.00%
10/10/2018,84500,88000,88000,84500,1.32M,-3.98%
10/11/2018,78600,80700,81900,78600,2.38M,-6.98%
10/12/2018,81300,75400,81300,75400,1.44M,3.44%
10/15/2018,78500,81000,81000,78000,1.24M,-3.44%
10/16/2018,78600,78400,79200,77500,851.25K,0.13%
10/17/2018,81000,80000,81800,79500,993.37K,3.05%
10/18/2018,80200,81000,81300,79800,644.32K,-0.99%
10/19/2018,81000,79100,81000,78500,1.12M,1.00%
10/22/2018,79200,81000,81400,79200,551.61K,-2.22%
10/23/2018,77500,79000,79000,75100,1.94M,-2.15%
10/24/2018,75000,76100,77400,74200,1.77M,-3.23%
10/25/2018,77500,71000,77500,71000,2.12M,3.33%
10/26/2018,76500,77000,77400,76300,785.65K,-1.29%
10/29/2018,76500,75000,76600,74700,728.55K,0.00%
10/30/2018,78000,75300,78700,75200,819.27K,1.96%
10/31/2018,83000,79000,83000,78500,1.01M,6.41%
11/1/2018,82000,82500,83600,81200,831.09K,-1.20%
11/2/2018,84500,82700,84500,82000,993.24K,3.05%
11/5/2018,85200,82700,85200,82700,536.74K,0.83%
11/6/2018,84000,86200,87000,84000,995.46K,-1.41%
11/7/2018,84700,84500,85400,83700,892.74K,0.83%
11/8/2018,84500,85000,86000,84000,145.85K,-0.24%
11/9/2018,84300,84000,84500,82700,577.22K,-0.24%
11/12/2018,83600,83100,84200,82400,241.05K,-0.83%
11/13/2018,79000,82000,82100,79000,576.15K,-5.50%
11/14/2018,79000,79100,80600,77000,331.45K,0.00%
11/15/2018,79400,79800,79900,78400,383.88K,0.51%
11/16/2018,79600,80900,80900,79000,399.90K,0.25%
11/19/2018,81800,79600,82000,79600,260.24K,2.76%
11/20/2018,81800,81200,82400,81200,334.09K,0.00%
11/21/2018,81200,80000,81500,80000,282.09K,-0.73%
11/22/2018,82000,81200,82500,81000,551.99K,0.99%
11/23/2018,81600,82000,82300,81500,450.02K,-0.49%
11/26/2018,82100,81600,82300,81200,349.67K,0.61%
11/27/2018,82000,82100,83000,81900,420.98K,-0.12%
11/28/2018,81300,81600,82000,81000,323.70K,-0.85%
11/29/2018,81000,82500,82500,81000,359.66K,-0.37%
11/30/2018,80000,81000,81400,79500,644.81K,-1.23%
12/3/2018,82200,81500,82400,81300,739.70K,2.75%
12/4/2018,84100,82500,84500,82400,1.14M,2.31%
12/5/2018,84100,83500,84100,82500,642.60K,0.00%
12/6/2018,83800,84000,85300,83500,629.70K,-0.36%
12/7/2018,84600,84000,85400,84000,811.58K,0.95%
12/10/2018,85600,84500,86000,84100,485.36K,1.18%
12/11/2018,85900,85200,86100,85200,646.53K,0.35%
12/12/2018,87000,85900,87000,85200,377.65K,1.28%
12/13/2018,87100,88000,88200,86800,630.69K,0.11%
12/14/2018,85500,87400,87400,85500,367.37K,-1.84%
12/17/2018,82000,84200,85400,82000,605.91K,-4.09%
12/18/2018,81200,80300,81400,80300,595.37K,-0.98%
12/19/2018,81500,81100,82300,81000,325.70K,0.37%
12/20/2018,81000,81000,82000,81000,337.36K,-0.61%
12/21/2018,78600,80800,81900,78600,2.41M,-2.96%
12/24/2018,79000,80000,80900,79000,379.15K,0.51%
12/25/2018,80000,78900,80400,77900,562.07K,1.27%
12/26/2018,79000,80000,80200,79000,577.20K,-1.25%
12/27/2018,79000,80000,80500,79000,425.95K,0.00%
12/28/2018,77500,79400,80000,77500,546.00K,-1.90%
1/2/2019,78600,78900,78900,78200,433.67K,1.42%
1/3/2019,78000,78900,78900,77600,565.64K,-0.76%
1/4/2019,76200,77000,77500,75500,463.07K,-2.31%
1/7/2019,78200,78100,78500,77200,336.38K,2.62%
1/8/2019,79000,78200,79100,78100,279.81K,1.02%
1/9/2019,79000,79000,79800,78900,339.53K,0.00%
1/10/2019,80200,79000,81100,79000,450.90K,1.52%
1/11/2019,80700,80300,81200,80000,452.30K,0.62%
1/14/2019,80500,80700,81300,80300,268.81K,-0.25%
1/15/2019,81900,80600,82000,80400,403.80K,1.74%
1/16/2019,81400,82000,82600,81400,483.10K,-0.61%
1/17/2019,80200,81300,82100,80200,320.06K,-1.47%
1/18/2019,81000,80200,81400,80200,359.08K,1.00%
1/21/2019,80800,81000,81300,80600,266.00K,-0.25%
1/22/2019,80100,80800,80900,80100,115.78K,-0.87%
1/23/2019,78000,80100,80100,78000,707.69K,-2.62%
1/24/2019,78000,78700,78900,77500,435.69K,0.00%
1/25/2019,78300,78000,78600,77800,677.54K,0.38%
1/28/2019,79100,78300,79300,78300,749.07K,1.02%
1/29/2019,79500,80000,80000,79200,604.48K,0.51%
1/30/2019,79100,79100,79600,79100,591.40K,-0.50%
1/31/2019,77700,79400,79600,77700,721.90K,-1.77%
2/1/2019,78400,78000,78600,77500,679.54K,0.90%
2/11/2019,80200,79900,82200,79800,1.09M,2.30%
2/12/2019,82300,81500,83000,80800,1.03M,2.62%
2/13/2019,85900,82300,85900,82300,1.36M,4.37%
2/14/2019,86000,85900,86400,84000,1.45M,0.12%
2/15/2019,84700,85800,85800,84600,779.85K,-1.51%
2/18/2019,85400,85000,85500,84900,659.24K,0.83%
2/19/2019,86500,85100,86600,85100,1.12M,1.29%
2/20/2019,86000,86000,86400,85800,1.13M,-0.58%
2/21/2019,89700,86300,89900,86300,2.22M,4.30%
2/22/2019,88400,89900,91000,88400,1.23M,-1.45%
2/25/2019,91200,92000,92000,90500,1.14M,3.17%
2/26/2019,90000,91000,91200,88400,902.73K,-1.32%
2/27/2019,89900,90100,90900,89800,788.91K,-0.11%
2/28/2019,88900,89900,89900,88500,835.22K,-1.11%
3/1/2019,89000,89000,89200,88200,683.44K,0.11%
3/4/2019,89500,89100,91400,89000,1.28M,0.56%
3/5/2019,89400,89500,90900,89300,772.09K,-0.11%
3/6/2019,90000,90000,90200,89300,695.52K,0.67%
3/7/2019,90000,90700,91000,89800,947.51K,0.00%
3/8/2019,89800,89100,90000,88500,469.73K,-0.22%
3/11/2019,89600,88100,89700,88100,602.35K,-0.22%
3/12/2019,88500,89600,90000,88100,653.99K,-1.23%
3/13/2019,89000,88500,89500,88500,1.01M,0.56%
3/14/2019,88600,89000,89300,88600,201.76K,-0.45%
3/15/2019,86500,88600,89000,85300,1.37M,-2.37%
3/18/2019,86800,86500,87600,84800,766.25K,0.35%
3/19/2019,87000,87300,87300,86000,442.46K,0.23%
3/20/2019,85000,85200,86200,84000,591.56K,-2.30%
3/21/2019,85000,85100,85400,84300,665.06K,0.00%
3/22/2019,84500,84900,85300,84500,759.19K,-0.59%
3/25/2019,82200,83000,83700,82100,488.15K,-2.72%
3/26/2019,83100,82200,84000,82200,488.32K,1.09%
3/27/2019,85000,83100,85200,83100,455.91K,2.29%
3/28/2019,85000,85000,85000,84200,395.73K,0.00%
3/29/2019,84300,85000,86900,84300,756.01K,-0.82%
4/1/2019,88000,85600,88000,85200,515.71K,4.39%
4/2/2019,88100,88300,88600,86300,393.20K,0.11%
4/3/2019,87700,88100,88100,87000,303.68K,-0.45%
4/4/2019,87800,87100,88100,87100,336.28K,0.11%
4/5/2019,88300,87800,88800,87800,231.11K,0.57%
4/8/2019,88300,88000,88500,85800,582.44K,0.00%
4/9/2019,87500,88700,88700,87000,280.38K,-0.91%
4/10/2019,86700,85200,87000,85200,292.05K,-0.91%
4/11/2019,87700,86700,88000,86700,188.22K,1.15%
4/12/2019,87800,87800,88100,87000,95.63K,0.11%
4/16/2019,87800,86000,88100,85400,290.80K,0.00%
4/17/2019,88000,87800,88100,87000,730.31K,0.23%
4/18/2019,86000,86100,87900,86000,407.72K,-2.27%
4/19/2019,87600,86000,88000,86000,57.48K,1.86%
4/22/2019,87900,87600,88000,87500,292.24K,0.34%
4/23/2019,87900,87100,88000,87100,338.52K,0.00%
4/24/2019,88000,86600,88100,86600,573.51K,0.11%
4/25/2019,87400,88000,88000,87100,271.41K,-0.68%
4/26/2019,86900,87000,87400,86400,284.15K,-0.57%
5/2/2019,88500,87000,88500,86500,678.66K,1.84%
5/3/2019,88600,88700,90400,87300,868.12K,0.11%
5/6/2019,87000,88400,88400,86500,90.18K,-1.81%
5/7/2019,87900,87000,88700,87000,337.42K,1.03%
5/8/2019,87800,87000,88500,87000,509.85K,-0.11%
5/9/2019,87700,87800,88200,87500,221.50K,-0.11%
5/10/2019,87500,87100,88300,87100,189.07K,-0.23%
5/13/2019,86700,87500,87900,86700,291.94K,-0.91%
5/14/2019,86500,84100,87800,84100,327.80K,-0.23%
5/15/2019,87800,86500,88500,86500,202.52K,1.50%
5/16/2019,87000,87800,88300,87000,359.32K,-0.91%
5/17/2019,86500,86200,87800,86200,419.26K,-0.57%
5/20/2019,88000,86600,88200,86500,396.98K,1.73%
5/21/2019,91300,88000,91600,88000,976.35K,3.75%
5/22/2019,90000,91300,91600,89800,436.56K,-1.42%
5/23/2019,90000,89800,90800,89000,254.80K,0.00%
5/24/2019,87200,90000,90500,87200,687.44K,-3.11%
5/27/2019,88400,87100,88800,87100,353.84K,1.38%
5/28/2019,87000,88000,88500,86500,642.34K,-1.58%
5/29/2019,87300,86600,87700,86500,313.82K,0.34%
5/30/2019,85500,87300,87800,85500,309.19K,-2.06%
5/31/2019,85800,85600,86800,85600,463.44K,0.35%
6/3/2019,85000,85800,86400,85000,381.73K,-0.93%
6/4/2019,85000,85000,85600,83500,326.58K,0.00%
6/5/2019,85000,85900,85900,85000,214.36K,0.00%
6/6/2019,85200,84600,85500,84600,254.61K,0.24%
6/7/2019,86000,85500,86900,85000,293.02K,0.94%
6/10/2019,86700,87000,87000,85600,435.32K,0.81%
6/11/2019,86000,86700,86800,86000,226.86K,-0.81%
6/12/2019,85000,86500,86500,85000,209.69K,-1.16%
6/13/2019,84500,85000,86200,84300,111.48K,-0.59%
6/14/2019,84200,85000,85000,83600,248.27K,-0.36%
6/17/2019,83500,83300,84800,83000,334.14K,-0.83%
6/18/2019,82000,83400,83700,81600,471.77K,-1.80%
6/19/2019,82800,82000,83400,82000,267.32K,0.98%
6/20/2019,82500,82500,84500,82300,313.42K,-0.36%
6/21/2019,84000,82500,84000,82400,739.81K,1.82%
6/24/2019,84100,84000,85500,78200,292.00K,0.12%
6/25/2019,84000,84000,84700,84000,246.50K,-0.12%
6/26/2019,85500,83800,85500,83800,273.64K,1.79%
6/27/2019,82000,84700,85600,82000,598.87K,-4.09%
6/28/2019,83000,83000,83000,81500,513.21K,1.22%
7/1/2019,85600,84000,85600,83900,329.72K,3.13%
7/2/2019,84600,85600,85600,84600,143.85K,-1.17%
7/3/2019,84500,84600,84900,83200,391.95K,-0.12%
7/4/2019,85200,84500,85200,84300,305.72K,0.83%
7/5/2019,85000,84900,85200,84200,96.60K,-0.23%
7/8/2019,84500,84100,84700,83500,395.43K,-0.59%
7/9/2019,84200,84000,84500,83900,195.01K,-0.36%
7/10/2019,84200,84200,84600,83800,271.13K,0.00%
7/11/2019,82500,84200,84500,82500,585.23K,-2.02%
7/12/2019,81500,82500,83800,81500,447.22K,-1.21%
7/15/2019,79900,81500,81500,79400,679.30K,-1.96%
7/16/2019,80400,80000,80900,80000,275.44K,0.63%
7/17/2019,79800,80700,80700,79500,543.70K,-0.75%
7/18/2019,75800,78900,80000,75000,1.68M,-5.01%
7/19/2019,77700,76000,77800,75800,512.09K,2.51%
7/22/2019,79200,77700,79900,77700,473.61K,1.93%
7/23/2019,79600,78200,79700,78000,756.34K,0.51%
7/24/2019,80700,79900,80900,79600,523.11K,1.38%
7/25/2019,80800,80300,81300,79900,322.15K,0.12%
7/26/2019,80900,80800,80900,79900,342.24K,0.12%
7/29/2019,81000,80700,81000,80100,354.02K,0.12%
7/30/2019,79900,81000,81100,79900,345.05K,-1.36%
7/31/2019,80000,79000,80000,78600,691.96K,0.13%
8/1/2019,80100,80000,80700,79900,367.74K,0.13%
8/2/2019,79000,79000,80000,79000,328.94K,-1.37%
8/5/2019,76800,78200,79000,76800,794.84K,-2.78%
8/6/2019,75000,76500,76600,74700,1.02M,-2.34%
8/7/2019,74800,75000,76400,73600,890.33K,-0.27%
8/8/2019,74800,73600,74800,72800,800.35K,0.00%
8/9/2019,76100,74900,76400,74900,459.40K,1.74%
8/12/2019,76000,76000,76500,75500,258.89K,-0.13%
8/13/2019,75600,76000,76000,74900,352.42K,-0.53%
8/14/2019,75600,76500,76500,75600,432.98K,0.00%
8/15/2019,76100,75100,76100,74600,487.06K,0.66%
8/16/2019,77000,75200,77500,75200,405.51K,1.18%
8/19/2019,77100,77000,77500,76800,291.07K,0.13%
8/20/2019,76200,77000,77000,76000,258.67K,-1.17%
8/21/2019,77000,75600,77300,75600,398.00K,1.05%
8/22/2019,78000,77000,78000,76500,398.85K,1.30%
8/23/2019,77000,78300,78300,77000,134.13K,-1.28%
8/26/2019,76000,76000,76500,75200,408.28K,-1.30%
8/27/2019,75000,76000,76500,75000,363.23K,-1.32%
8/28/2019,74800,75000,75800,74600,267.99K,-0.27%
8/29/2019,75000,74800,75500,74800,194.63K,0.27%
8/30/2019,75400,75000,75800,74900,181.41K,0.53%
9/3/2019,74000,75400,75400,74000,290.93K,-1.86%
9/4/2019,75000,74000,75500,74000,255.70K,1.35%
9/5/2019,74500,75000,75200,73800,305.58K,-0.67%
9/6/2019,74000,74500,75000,74000,242.52K,-0.67%
9/9/2019,74000,73700,74800,73700,267.13K,0.00%
9/10/2019,76100,74000,76400,74000,420.71K,2.84%
9/11/2019,78000,76200,78200,76100,569.25K,2.50%
9/12/2019,76800,78000,78000,76800,291.87K,-1.54%
9/13/2019,76500,76200,76700,75900,432.61K,-0.39%
9/16/2019,77800,76500,78000,76500,333.72K,1.70%
9/17/2019,79500,78000,79600,77800,604.25K,2.19%
9/18/2019,80900,79500,80900,79000,906.28K,1.76%
9/19/2019,80200,80900,81000,79800,548.79K,-0.87%
9/20/2019,80200,80100,80200,79100,816.21K,0.00%
9/23/2019,80000,80200,80900,79900,485.65K,-0.25%
9/24/2019,79000,79900,79900,78400,561.26K,-1.25%
9/25/2019,79000,79000,79200,78600,257.15K,0.00%
9/26/2019,78500,78800,79000,78300,220.02K,-0.63%
9/27/2019,79400,79000,79900,78700,570.79K,1.15%
9/30/2019,78500,79400,79500,78500,562.88K,-1.13%
10/1/2019,78800,79000,79100,78100,246.87K,0.38%
10/2/2019,77000,79000,79000,77000,700.31K,-2.28%
10/3/2019,78000,77000,78000,76400,390.57K,1.30%
10/4/2019,77400,78000,78500,77100,165.65K,-0.77%
10/7/2019,76500,77400,77700,76500,357.58K,-1.16%
10/8/2019,76900,76800,77500,76600,258.07K,0.52%
10/9/2019,77000,76900,77200,76600,223.03K,0.13%
10/10/2019,77000,77000,77500,76700,417.56K,0.00%
10/11/2019,77000,77300,77400,76800,560.57K,0.00%
10/14/2019,76600,77200,77400,76600,199.64K,-0.52%
10/15/2019,78200,76600,78700,76600,411.85K,2.09%
10/16/2019,77800,78500,78500,77800,323.34K,-0.51%
10/17/2019,77000,77800,78000,77000,818.38K,-1.03%
10/18/2019,76000,77000,77500,76000,448.61K,-1.30%
10/21/2019,75000,76000,76000,74700,769.24K,-1.32%
10/22/2019,74400,75000,75400,74100,431.65K,-0.80%
10/23/2019,75800,74500,76000,74500,387.60K,1.88%
10/24/2019,75600,76000,76000,75200,272.77K,-0.26%
10/25/2019,74600,75600,75600,74500,479.40K,-1.32%
10/28/2019,74500,74700,75000,74500,502.51K,-0.13%
10/29/2019,74000,74500,74900,74000,483.23K,-0.67%
10/30/2019,74000,74600,74800,73800,638.33K,0.00%
10/31/2019,74200,75000,75300,73800,908.64K,0.27%
11/1/2019,75700,74500,76000,74500,1.60M,2.02%
11/4/2019,76300,76200,77100,76200,890.56K,0.79%
11/5/2019,76000,76300,76400,75600,764.73K,-0.39%
11/6/2019,76000,75900,76700,75900,537.76K,0.00%
11/7/2019,76500,76000,76500,75700,431.59K,0.66%
11/8/2019,76800,77200,77400,76600,586.26K,0.39%
11/11/2019,74500,76700,76700,74500,1.14M,-2.99%
11/12/2019,75000,74600,75200,74500,399.08K,0.67%
11/13/2019,74300,75200,75200,74300,645.91K,-0.93%
11/14/2019,75200,74400,75300,74400,477.28K,1.21%
11/15/2019,74500,75200,75200,74500,275.16K,-0.93%
11/18/2019,74400,75000,75000,74400,222.09K,-0.13%
11/19/2019,74000,74500,74900,73900,542.90K,-0.54%
